2018rank,City,state,2018estimate,2010Census,2016 land area in sq/mi,2016 land area in km2,2016 population density in sq/mi,2016 population density in km2,rank_living_cost_index,cost_index_rate,rate_index,cost_plus_rent_index,groceries_index,restaurent_price_index,power_index
57,Santa Ana,California,332725,324528,27.1,70.,12333,4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Riverside,California,330063,303871,81.2,10.3,3999,1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Corpus Christi,Texas,326554,305215,174.6,452.,1866,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Lexington,Kentucky,323780,295803,283.6,734.5,1123,434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Stockton,California,311178,291707,61.7,159.8,4977,1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Henderson,Nevada,310390,257729,104.7,71.,2798,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Saint Paul,Minnesota,307695,285068,52.0,134.7,5815,2245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,St. Louis,Missouri,302838,319294,62.0,160.6,5023,1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Cincinnati,Ohio,302605,296943,77.4,00.5,3860,1490,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Pittsburgh,Pennsylvania,301048,305704,55.4,143.5,5481,2116,21.0,73.68,36.18,55.65,68.65,66.8,116.7
67,Greensboro,North Carolina,294722,269666,128.3,332.3,2237,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Anchorage,Alaska,291538,291826,1706.6,4420.1,175,68,2.0,91.68,39.35,66.52,93.35,78.36,129.56
69,Plano,Texas,288061,259841,71.7,185.7,3990,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Lincoln,Nebraska,287401,258379,92.1,38.5,3044,1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Orlando,Florida,285713,238300,105.2,72.5,2635,1017,30.0,70.18,41.09,56.19,65.93,73.5,105.21
72,Irvine,California,282572,212375,65.6,169.9,4057,1566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Newark,New Jersey,282090,277140,24.1,62.4,11691,4514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Toledo,Ohio,274975,287208,80.7,09.0,3451,1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Durham,North Carolina,274291,228330,109.8,84.4,2395,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Chula Vista,California,271651,243916,49.6,128.5,5387,2080,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Fort Wayne,Indiana,267633,253691,110.6,86.5,2391,923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Jersey City,New Jersey,265549,247597,14.8,38.3,17848,6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,St. Petersburg,Florida,265098,244769,61.8,160.1,4223,1631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Laredo,Texas,261639,236091,101.1,61.8,2544,982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Madison,Wisconsin,258054,233209,77.0,199.4,3280,1270,46.0,64.42,37.56,51.5,57.31,66.83,136.55
82,Chandler,Arizona,257165,236123,64.9,168.1,3813,1472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Buffalo,New York,256304,261310,40.4,104.6,6359,2455,22.0,73.32,28.43,51.73,66.79,78.07,112.49
84,Lubbock,Texas,255885,229573,124.6,322.7,2027,783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Scottsdale,Arizona,255310,217385,183.9,476.3,1341,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Reno,Nevada,250998,225221,107.3,77.9,2286,883,38.0,67.64,37.7,53.24,65.97,65.89,120.94
87,Glendale,Arizona,250702,226721,59.1,153.1,4161,1607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Gilbert,Arizona,248279,208453,68.0,176.1,3487,1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Winston–Salem,North Carolina,246328,229617,132.5,343.,1828,706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,North Las Vegas,Nevada,245949,216961,98.0,53.8,2436,941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Norfolk,Virginia,244076,242803,53.3,138.0,4599,1776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Chesapeake,Virginia,242634,222209,338.5,876.7,703,271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
